file,summary
luaobject.cpp,"Plik `luaobject.cpp` zawiera implementację klasy `LuaObject`, która jest klasą bazową dla wszystkich obiektów C++, które mają być dostępne w środowisku Lua."
luaobject.h,"Plik `luaobject.h` deklaruje klasę `LuaObject`, która jest fundamentalną klasą bazową dla wszystkich obiektów C++, które mają być widoczne i zarządzane przez silnik Lua."
luavaluecasts.cpp,Plik `luavaluecasts.cpp` zawiera implementacje specjalizacji szablonów `push_luavalue` i `luavalue_cast` dla podstawowych typów danych. Te funkcje są sercem systemu konwersji typów między C++ a Lua.
luavaluecasts.h,"Plik `luavaluecasts.h` deklaruje zestaw szablonowych funkcji `push_luavalue` i `luavalue_cast`, które definiują, w jaki sposób różne typy danych C++ są konwertowane do i z wartości Lua. Jest to kluczowy element systemu bindowania, który umożliwia automatyczną konwersję argumentów funkcji i wartości zwracanych."
connection.cpp,"Plik `connection.cpp` zawiera implementację klasy `Connection`, która jest niskopoziomowym opakowaniem na asynchroniczne gniazdo TCP (TCP socket) z biblioteki Boost.Asio. Zarządza ona cyklem życia połączenia, operacjami odczytu i zapisu oraz obsługą błędów."
server.h,"Plik `server.h` deklaruje klasę `Server`, która jest prostym opakowaniem na `boost::asio::ip::tcp::acceptor`. Umożliwia tworzenie serwera TCP, który nasłuchuje na przychodzące połączenia na określonym porcie."
connection.h,"Plik `connection.h` deklaruje klasę `Connection`, która jest interfejsem do asynchronicznego połączenia TCP. Jest to kluczowy element podsystemu sieciowego."
declarations.h,Plik `declarations.h` w module `net` służy do wczesnych deklaracji (forward declarations) i definicji typów wskaźników dla klas związanych z obsługą sieci. Pomaga to unikać zależności cyklicznych i skraca czas kompilacji.
inputmessage.h,"Plik `inputmessage.h` deklaruje klasę `InputMessage`, która jest narzędziem do parsowania przychodzących pakietów sieciowych."
outputmessage.cpp,"Plik `outputmessage.cpp` zawiera implementację klasy `OutputMessage`, która służy do budowania wychodzących pakietów sieciowych."
outputmessage.h,"Plik `outputmessage.h` deklaruje klasę `OutputMessage`, która jest narzędziem do konstruowania wychodzących pakietów sieciowych."
packet_player.cpp,"Plik `packet_player.cpp` zawiera implementację klasy `PacketPlayer`, która umożliwia odtwarzanie wcześniej nagranych sesji sieciowych. Jest to narzędzie do debugowania i testowania."
packet_player.h,"Plik `packet_player.h` deklaruje klasę `PacketPlayer`, która służy do odtwarzania nagranych sesji sieciowych z plików."
protocol.h,"Plik `protocol.h` deklaruje klasę `Protocol`, która jest klasą bazową do implementacji protokołów komunikacji sieciowej."
packet_recorder.cpp,"Plik `packet_recorder.cpp` zawiera implementację klasy `PacketRecorder`, która służy do nagrywania sesji sieciowej do pliku tekstowego."
protocol.cpp,"Plik `protocol.cpp` zawiera implementację klasy `Protocol`, która stanowi bazę dla protokołów komunikacyjnych. Implementuje ona logikę niskiego poziomu, taką jak szyfrowanie, sumy kontrolne i kompresję, delegując obsługę samych pakietów do skryptów Lua."
server.cpp,"Plik `server.cpp` zawiera implementację klasy `Server`, która umożliwia tworzenie prostych serwerów TCP nasłuchujących na przychodzące połączenia."
inputmessage.cpp,"Plik `inputmessage.cpp` zawiera implementację klasy `InputMessage`, która jest narzędziem do parsowania przychodzących pakietów sieciowych."
packet_recorder.h,"Plik `packet_recorder.h` deklaruje klasę `PacketRecorder`, która służy do nagrywania sesji sieciowej do pliku tekstowego w celu późniejszej analizy lub odtworzenia."
declarations.h,Plik `declarations.h` w module `otml` służy do wczesnych deklaracji (forward declarations) i definicji typów dla klas związanych z parserem OTML.
otmlparser.h,"Plik `otmlparser.h` deklaruje klasę `OTMLParser`, która jest odpowiedzialna za parsowanie dokumentów w formacie OTML (OTClient Markup Language)."
otml.h,Plik `otml.h` jest głównym plikiem nagłówkowym dla modułu OTML. Jego jedynym zadaniem jest dołączenie dwóch najważniejszych plików tego modułu: `otmldocument.h` i `otmlnode.h`.
otmldocument.cpp,"Plik `otmldocument.cpp` zawiera implementację klasy `OTMLDocument`, która reprezentuje cały dokument OTML i jest korzeniem drzewa węzłów."
otmldocument.h,"Plik `otmldocument.h` deklaruje klasę `OTMLDocument`, która jest specjalizacją `OTMLNode` i reprezentuje korzeń dokumentu OTML."
otmlemitter.cpp,"Plik `otmlemitter.cpp` zawiera implementację klasy `OTMLEmitter`, która jest odpowiedzialna za konwersję drzewa `OTMLNode` z powrotem do formatu tekstowego OTML."
otmlexception.cpp,"Plik `otmlexception.cpp` zawiera implementację klasy `OTMLException`, która jest używana do sygnalizowania błędów podczas parsowania lub przetwarzania dokumentów OTML."
otmlexception.h,"Plik `otmlexception.h` deklaruje klasę `OTMLException`, która jest typem wyjątku używanym do sygnalizowania błędów związanych z OTML."
otmlemitter.h,"Plik `otmlemitter.h` deklaruje klasę `OTMLEmitter`, która jest odpowiedzialna za proces ""emitowania"", czyli konwersji drzewa węzłów OTML z powrotem do jego tekstowej reprezentacji."
otmlparser.cpp,"Plik `otmlparser.cpp` zawiera implementację klasy `OTMLParser`, która jest sercem mechanizmu parsowania języka OTML."
otmlnode.h,"Plik `otmlnode.h` deklaruje klasę `OTMLNode`, która jest podstawowym budulcem drzewa dokumentu OTML. Reprezentuje pojedynczy węzeł, który może mieć tag, wartość i listę dzieci."
otmlnode.cpp,Plik `otmlnode.cpp` zawiera implementację metod klasy `OTMLNode`.
androidplatform.cpp,"Plik `androidplatform.cpp` zawiera implementację metod klasy `Platform` specyficznych dla systemu Android. Jest kompilowany tylko wtedy, gdy zdefiniowano makro `ANDROID`."
androidwindow.cpp,"Plik `androidwindow.cpp` zawiera implementację klasy `AndroidWindow`, która jest specyficzną dla platformy Android implementacją `PlatformWindow`. Zarządza ona cyklem życia okna, obsługą wejścia (dotyk, klawiatura) oraz kontekstem graficznym EGL/OpenGL ES."
androidwindow.h,"Plik `androidwindow.h` deklaruje klasę `AndroidWindow`, która jest implementacją `PlatformWindow` dla systemu Android."
crashhandler.h,Plik `crashhandler.h` deklaruje funkcje do instalacji i deinstalacji globalnego mechanizmu obsługi awarii (crash handler).
platform.cpp,Plik `platform.cpp` ma za zadanie jedynie zdefiniować globalną instancję klasy `Platform`.
platformwindow.cpp,"Plik `platformwindow.cpp` jest kluczowym plikiem, który zarządza implementacją okna specyficzną dla danej platformy. Jego głównym zadaniem jest dołączenie odpowiedniego pliku nagłówkowego (np. `win32window.h` lub `x11window.h`) i zdefiniowanie globalnego wskaźnika `g_window`, który będzie wskazywał na właściwą, platformową instancję okna."
platform.h,"Plik `platform.h` deklaruje klasę `Platform`, która jest interfejsem do funkcji specyficznych dla systemu operacyjnego. Zapewnia abstrakcję nad różnicami między platformami (Windows, Linux, macOS, Android)."
platformwindow.h,"Plik `platformwindow.h` deklaruje abstrakcyjną klasę bazową `PlatformWindow`, która definiuje wspólny interfejs do zarządzania oknem aplikacji na różnych systemach operacyjnych."
sdlwindow.cpp,"Plik `sdlwindow.cpp` zawiera implementację klasy `SDLWindow`, która jest wersją `PlatformWindow` dla platformy Emscripten (WebAssembly), opartą na bibliotece SDL. > **NOTE:** Implementacja jest w większości pusta. Sugeruje to, że obsługa okna i zdarzeń w Emscripten jest realizowana w inny sposób, prawdopodobnie poprzez główną pętlę Emscripten i bezpośrednie wywołania JavaScript, a ta klasa jest jedynie ""zaślepką"" (placeholderem), aby kod się kompilował."
sdlwindow.h,"Plik `sdlwindow.h` deklaruje klasę `SDLWindow`, która jest implementacją `PlatformWindow` dla platformy Emscripten (WebAssembly), opartą na bibliotece SDL."
unixcrashhandler.cpp,"Plik `unixcrashhandler.cpp` zawiera implementację mechanizmu obsługi awarii (crash handler) dla systemów uniksowych (Linux, macOS). Jest kompilowany tylko wtedy, gdy zdefiniowano `CRASH_HANDLER` i platforma nie jest Windows ani Emscripten."
unixplatform.cpp,"Plik `unixplatform.cpp` zawiera implementację metod klasy `Platform` specyficznych dla systemów uniksowych (Linux, macOS). Jest kompilowany, gdy platforma nie jest ani Windows, ani Emscripten."
win32crashhandler.cpp,"Plik `win32crashhandler.cpp` zawiera implementację mechanizmu obsługi awarii (crash handler) dla systemu Windows. Jest kompilowany, gdy zdefiniowano `WIN32` i `CRASH_HANDLER`."
win32platform.cpp,Plik `win32platform.cpp` zawiera implementację metod klasy `Platform` specyficznych dla systemu Windows.
win32window.cpp,"Plik `win32window.cpp` zawiera implementację klasy `WIN32Window`, która jest specyficzną dla Windows implementacją `PlatformWindow`. Zarządza ona natywnym oknem WinAPI, obsługą zdarzeń i kontekstem graficznym (WGL dla OpenGL lub EGL dla OpenGL ES/DirectX)."
win32window.h,"Plik `win32window.h` deklaruje klasę `WIN32Window`, która jest implementacją `PlatformWindow` dla systemu Windows."
x11window.h,"Plik `x11window.h` deklaruje klasę `X11Window`, która jest implementacją `PlatformWindow` dla systemów uniksowych używających serwera X11 (głównie Linux)."
x11window.cpp,Plik `x11window.cpp` zawiera implementację klasy `X11Window` dla systemów uniksowych z X11.
proxy.cpp,"Plik `proxy.cpp` zawiera implementację klasy `ProxyManager`, która zarządza systemem proxy do komunikacji z serwerem gry."
proxy.h,"Plik `proxy.h` deklaruje klasę `ProxyManager`, która jest singletonem (`g_proxy`) odpowiedzialnym za zarządzanie całym systemem połączeń proxy. Stanowi on główny punkt wejścia do konfiguracji i wykorzystania tunelowania ruchu sieciowego."
proxy_client.h,"Plik `proxy_client.h` deklaruje dwie kluczowe klasy dla systemu proxy: `Proxy` i `Session`. Te klasy implementują logikę klienta, który łączy się z serwerami proxy i tuneluje przez nie ruch sieciowy."
proxy_client.cpp,"Plik `proxy_client.cpp` zawiera implementację logiki dla klas `Proxy` i `Session`, które razem tworzą system klienta proxy. Kod jest w pełni asynchroniczny i oparty na Boost.Asio."
combinedsoundsource.cpp,"Plik `combinedsoundsource.cpp` zawiera implementację klasy `CombinedSoundSource`, która jest specjalnym rodzajem źródła dźwięku."
combinedsoundsource.h,"Plik `combinedsoundsource.h` deklaruje klasę `CombinedSoundSource`, która jest kompozytem wielu źródeł dźwięku, zachowującym się jak jedno."
oggsoundfile.cpp,"Plik `oggsoundfile.cpp` zawiera implementację klasy `OggSoundFile`, która jest odpowiedzialna za odczytywanie i dekodowanie plików dźwiękowych w formacie Ogg Vorbis."
declarations.h,"Plik `declarations.h` w module `sound` służy do wczesnych deklaracji klas i definicji typów wskaźników związanych z systemem dźwięku. Jest on kompilowany tylko wtedy, gdy zdefiniowano flagę `FW_SOUND`."
oggsoundfile.h,"Plik `oggsoundfile.h` deklaruje klasę `OggSoundFile`, która jest konkretną implementacją `SoundFile` do obsługi plików w formacie Ogg Vorbis."
soundbuffer.cpp,"Plik `soundbuffer.cpp` zawiera implementację klasy `SoundBuffer`, która jest opakowaniem na bufor audio w OpenAL."
soundbuffer.h,"Plik `soundbuffer.h` deklaruje klasę `SoundBuffer`, która jest opakowaniem na bufor audio OpenAL."
soundfile.cpp,"Plik `soundfile.cpp` zawiera implementację klasy `SoundFile`, która jest abstrakcyjną klasą bazową do odczytu różnych formatów plików dźwiękowych."
soundchannel.cpp,"Plik `soundchannel.cpp` zawiera implementację klasy `SoundChannel`, która reprezentuje kanał dźwiękowy, umożliwiający odtwarzanie dźwięków w sposób zorganizowany i kontrolowany."
soundchannel.h,"Plik `soundchannel.h` deklaruje klasę `SoundChannel`, która reprezentuje logiczny kanał audio."
soundfile.h,"Plik `soundfile.h` deklaruje abstrakcyjną klasę bazową `SoundFile`, która definiuje wspólny interfejs do odczytu danych z różnych formatów plików dźwiękowych."
soundmanager.cpp,"Plik `soundmanager.cpp` zawiera implementację klasy `SoundManager`, która jest singletonem (`g_sounds`) i centralnym punktem zarządzania całym podsystemem dźwięku."
soundmanager.h,"Plik `soundmanager.h` deklaruje klasę `SoundManager`, która jest singletonem (`g_sounds`) zarządzającym całym systemem dźwięku w aplikacji."
soundsource.cpp,"Plik `soundsource.cpp` zawiera implementację klasy `SoundSource`, która jest opakowaniem na źródło dźwięku w OpenAL."
streamsoundsource.cpp,"Plik `streamsoundsource.cpp` zawiera implementację klasy `StreamSoundSource`, która jest specjalizacją `SoundSource` do odtwarzania dźwięków strumieniowo z plików."
streamsoundsource.h,"Plik `streamsoundsource.h` deklaruje klasę `StreamSoundSource`, która jest implementacją `SoundSource` do strumieniowego odtwarzania dźwięku."
soundsource.h,"Plik `soundsource.h` deklaruje klasę `SoundSource`, która jest abstrakcyjnym opakowaniem na źródło dźwięku w OpenAL."
any.h,"Plik `any.h` zawiera implementację klasy `stdext::any`, która jest prostą, własną wersją `std::any` (dostępnego od C++17) lub `boost::any`. Pozwala na przechowywanie wartości dowolnego typu w sposób bezpieczny typowo."
cast.h,"Plik `cast.h` zawiera zestaw szablonowych funkcji i klas do konwersji (rzutowania) między różnymi typami danych, głównie z i do `std::string`."
demangle.cpp,"Plik `demangle.cpp` zawiera implementację funkcji `demangle_name`, która konwertuje ""zniekształcone"" (mangled) nazwy typów C++ na ich czytelną formę."
compiler.h,"Plik `compiler.h` zawiera makra i dyrektywy preprocesora specyficzne dla kompilatora. Jego celem jest ujednolicenie obsługi różnych kompilatorów (GCC, Clang, MSVC) i zapewnienie kompatybilności."
demangle.h,"Plik `demangle.h` deklaruje funkcje pomocnicze do ""demanglowania"" (odkodowywania) nazw typów C++, które są zniekształcane przez kompilator w procesie kompilacji."
boolean.h,"Plik `boolean.h` deklaruje prostą klasę szablonową `stdext::boolean`, która jest opakowaniem na typ `bool` z możliwością zdefiniowania wartości domyślnej."
dumper.h,"Plik `dumper.h` zawiera proste narzędzie do szybkiego debugowania, które pozwala na wypisywanie wartości wielu zmiennych na standardowe wyjście w jednej linii."
dynamic_storage.h,"Plik `dynamic_storage.h` deklaruje klasę szablonową `dynamic_storage`, która implementuje dynamiczny kontener asocjacyjny, gdzie kluczem jest typ całkowitoliczbowy, a wartością może być dowolny typ (przechowywany za pomocą `stdext::any`)."
exception.h,"Plik `exception.h` deklaruje klasę `stdext::exception`, która jest bazową klasą dla wszystkich niestandardowych wyjątków w projekcie."
fastrand.h,Plik `fastrand.h` zawiera implementację prostej i szybkiej funkcji do generowania liczb pseudolosowych.
math.cpp,Plik `math.cpp` zawiera implementację funkcji matematycznych i losowych zadeklarowanych w `math.h`.
math.h,"Plik `math.h` deklaruje zestaw funkcji pomocniczych związanych z matematyką, operacjami bitowymi i losowością."
net.h,Plik `net.h` deklaruje funkcje pomocnicze związane z operacjami na adresach IP.
packed_any.h,"Plik `packed_any.h` deklaruje klasę `stdext::packed_any`, która jest zoptymalizowaną pod kątem pamięci wersją `stdext::any`."
shared_object.h,"Plik `shared_object.h` zawiera implementację własnego, intruzywnego inteligentnego wskaźnika (`shared_object_ptr`) i powiązanej z nim klasy bazowej (`shared_object`)."
stdext.h,Plik `stdext.h` jest głównym plikiem nagłówkowym dla modułu `stdext` (standard extensions). Jego jedynym zadaniem jest dołączenie wszystkich innych plików nagłówkowych z tego modułu w jednym miejscu.
packed_storage.h,"Plik `packed_storage.h` deklaruje klasę szablonową `packed_storage`, która jest kontenerem asocjacyjnym zoptymalizowanym pod kątem minimalnego zużycia pamięci."
thread.h,"Plik `thread.h` jest prostym plikiem nagłówkowym, który dołącza standardowe nagłówki C++ związane z wielowątkowością."
time.h,"Plik `time.h` deklaruje zestaw funkcji i klas do obsługi czasu, stanowiąc opakowanie na `std::chrono`."
traits.h,"Plik `traits.h` zawiera szablony metaprogramowania (type traits), które są używane do manipulacji i analizy typów w czasie kompilacji."
string.h,Plik `string.h` deklaruje zestaw funkcji pomocniczych do manipulacji i konwersji ciągów znaków (`std::string`).
time.cpp,Plik `time.cpp` zawiera implementację funkcji czasowych zadeklarowanych w `time.h`.
uri.h,Plik `uri.h` deklaruje strukturę `ParsedURI` oraz funkcję do parsowania adresów URL.
net.cpp,"Plik `net.cpp` zawiera implementację funkcji pomocniczych do operacji na adresach IP, zadeklarowanych w `net.h`."
uri.cpp,Plik `uri.cpp` zawiera implementację funkcji `parseURI` do parsowania adresów URL.
types.h,Plik `types.h` definiuje zestaw aliasów dla typów całkowitoliczbowych o stałym rozmiarze oraz inne podstawowe typy używane w całym frameworku.
format.h,"Plik `format.h` zawiera implementację funkcji `stdext::format`, która jest bezpieczną typowo alternatywą dla `sprintf`, podobną do `boost::format` lub `fmt::format`."
string.cpp,"Plik `string.cpp` zawiera implementację funkcji pomocniczych do manipulacji stringami, zadeklarowanych w `string.h`."
declarations.h,Plik `declarations.h` w module `ui` jest plikiem nagłówkowym do wczesnych deklaracji (forward declarations) i definicji typów dla klas interfejsu użytkownika.
ui.h,"Plik `ui.h` jest głównym, zbiorczym plikiem nagłówkowym dla modułu UI. Jego zadaniem jest dołączenie wszystkich najważniejszych nagłówków związanych z interfejsem użytkownika w jednym miejscu."
uiboxlayout.cpp,"Plik `uiboxlayout.cpp` zawiera implementację klasy `UIBoxLayout`, która jest abstrakcyjną klasą bazową dla layoutów układających widgety w jednej linii (poziomo lub pionowo)."
uiboxlayout.h,"Plik `uiboxlayout.h` deklaruje klasę `UIBoxLayout`, która jest abstrakcyjną klasą bazową dla layoutów liniowych."
uigridlayout.cpp,"Plik `uigridlayout.cpp` zawiera implementację klasy `UIGridLayout`, która układa widgety w siatce o stałym rozmiarze komórek."
uigridlayout.h,"Plik `uigridlayout.h` deklaruje klasę `UIGridLayout`, która implementuje layout siatkowy."
uihorizontallayout.cpp,"Plik `uihorizontallayout.cpp` zawiera implementację klasy `UIHorizontalLayout`, która układa widgety w jednym rzędzie, od lewej do prawej lub od prawej do lewej."
uihorizontallayout.h,"Plik `uihorizontallayout.h` deklaruje klasę `UIHorizontalLayout`, która implementuje layout horyzontalny."
uilayout.cpp,"Plik `uilayout.cpp` zawiera implementację klasy `UILayout`, która jest abstrakcyjną klasą bazową dla wszystkich menedżerów layoutu."
uilayout.h,"Plik `uilayout.h` deklaruje abstrakcyjną klasę bazową `UILayout`, która definiuje wspólny interfejs dla wszystkich klas zarządzających pozycją i rozmiarem widgetów-dzieci."
uimanager.h,"Plik `uimanager.h` deklaruje klasę `UIManager`, która jest singletonem (`g_ui`) i centralnym punktem zarządzania całym interfejsem użytkownika."
uitextedit.cpp,"Plik `uitextedit.cpp` zawiera implementację klasy `UITextEdit`, która jest specjalizowanym widgetem do wprowadzania i edycji tekstu."
uimanager.cpp,"Plik `uimanager.cpp` zawiera implementację klasy `UIManager`, która jest centralnym menedżerem interfejsu użytkownika."
uitextedit.h,"Plik `uitextedit.h` deklaruje klasę `UITextEdit`, która jest widgetem służącym do wprowadzania i edycji tekstu przez użytkownika."
uitranslator.cpp,"Plik `uitranslator.cpp` zawiera implementacje funkcji, które tłumaczą tekstowe reprezentacje różnych enumów używanych w UI na ich faktyczne wartości liczbowe."
uitranslator.h,Plik `uitranslator.h` deklaruje zestaw funkcji pomocniczych do konwersji stringów na wartości wyliczeniowe (enum) używane w systemie UI.
uiverticallayout.cpp,"Plik `uiverticallayout.cpp` zawiera implementację klasy `UIVerticalLayout`, która układa widgety w jednej kolumnie, od góry do dołu lub od dołu do góry."
uiverticallayout.h,"Plik `uiverticallayout.h` deklaruje klasę `UIVerticalLayout`, która implementuje layout wertykalny."
uiwidget.cpp,"Plik `uiwidget.cpp` jest głównym plikiem implementacyjnym dla klasy `UIWidget`. Zawiera on logikę dla podstawowych operacji na widgetach, takich jak zarządzanie dziećmi, obsługa layoutów, zdarzeń, stanów i stylów."
uiwidget.h,"Plik `uiwidget.h` deklaruje klasę `UIWidget`, która jest fundamentalną klasą bazową dla wszystkich elementów interfejsu użytkownika."
uiwidgetimage.cpp,"Plik `uiwidgetimage.cpp` zawiera implementację części klasy `UIWidget` odpowiedzialnej za obsługę i renderowanie obrazu tła. > **NOTE:** To nie jest osobna klasa, lecz część implementacji `UIWidget`, wydzielona do osobnego pliku dla lepszej organizacji kodu."
uianchorlayout.h,"Plik `uianchorlayout.h` deklaruje klasy `UIAnchor`, `UIAnchorGroup` i `UIAnchorLayout`, które razem implementują system layoutu oparty na ""kotwicach"" (anchors)."
uiwidgettext.cpp,"Plik `uiwidgettext.cpp` zawiera implementację części klasy `UIWidget` odpowiedzialnej za obsługę i renderowanie tekstu. > **NOTE:** To nie jest osobna klasa, lecz część implementacji `UIWidget`, wydzielona do osobnego pliku."
uiwidgetbasestyle.cpp,"Plik `uiwidgetbasestyle.cpp` zawiera implementację części klasy `UIWidget` odpowiedzialnej za podstawowy styl, czyli właściwości wspólne dla wszystkich widgetów, takie jak tło, ramka, ikona i ogólne atrybuty."
uianchorlayout.cpp,"Plik `uianchorlayout.cpp` zawiera implementację klas `UIAnchor`, `UIAnchorGroup` i `UIAnchorLayout`, które razem tworzą system layoutu opartego na kotwicach."
